0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:05 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2524
0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:07 +0900] "GET /bigdata/mvcboard/reply.do?idx=6 HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:19 +0900] "POST /bigdata/mvcboard/replyOk.do HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:22 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3402
0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:51 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:52 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:54 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:57 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:58 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:59 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:42:07 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:42:07 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:42:08 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:42:21 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:42:24 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:42:26 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:43:30 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:43:30 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:44:02 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:44:03 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:44:14 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:44:38 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [13/May/2020:15:46:30 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [13/May/2020:15:46:32 +0900] "GET /bigdata/index.do?page=2 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [13/May/2020:15:46:32 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3404
